radius_au,normalised_surface_density
3.005000000000000071e+01,6.632884586295610674e-02
3.015000000000000213e+01,9.916327453640981504e-02
3.025000000000000355e+01,2.141435011269748612e-01
3.035000000000000497e+01,1.149281114272894949e-01
3.045000000000000639e+01,0.000000000000000000e+00
3.055000000000000782e+01,0.000000000000000000e+00
3.065000000000000924e+01,1.625760047456631385e-02
3.075000000000001066e+01,0.000000000000000000e+00
3.085000000000001208e+01,0.000000000000000000e+00
3.095000000000001350e+01,0.000000000000000000e+00
3.105000000000001492e+01,1.604816278729350940e-02
3.115000000000001634e+01,1.599664380563261407e-02
3.125000000000001776e+01,1.594545454545463412e-02
3.135000000000001918e+01,3.178918370305957447e-02
3.145000000000002061e+01,3.168810521751735249e-02
3.155000000000002203e+01,0.000000000000000000e+00
3.165000000000002345e+01,1.574393221312651511e-02
3.175000000000002487e+01,0.000000000000000000e+00
3.185000000000002629e+01,1.564506921649786927e-02
3.195000000000002771e+01,0.000000000000000000e+00
3.205000000000002558e+01,0.000000000000000000e+00
3.215000000000003411e+01,6.199632404920205064e-02
3.225000000000002842e+01,0.000000000000000000e+00
3.235000000000003695e+01,3.080651960095498118e-02
3.245000000000003126e+01,4.606737638324798212e-02
3.255000000000003979e+01,1.530861611506757931e-02
3.265000000000003411e+01,0.000000000000000000e+00
3.275000000000004263e+01,3.043025676613450928e-02
3.285000000000003695e+01,3.033762280337619702e-02
3.295000000000004547e+01,1.512277555524954922e-02
3.305000000000003979e+01,1.507701829184438305e-02
3.315000000000004832e+01,0.000000000000000000e+00
3.325000000000004263e+01,7.493164730006911245e-02
3.335000000000005116e+01,4.482417881968164819e-02
3.345000000000004547e+01,1.489672509851854704e-02
3.355000000000005400e+01,4.455697060019050276e-02
3.365000000000004832e+01,0.000000000000000000e+00
3.375000000000005684e+01,4.429292929292885650e-02
3.385000000000005116e+01,4.416207868940629638e-02
3.395000000000005969e+01,2.935466595260396994e-02
3.405000000000005400e+01,1.463422773995459031e-02
3.415000000000006253e+01,0.000000000000000000e+00
3.425000000000005684e+01,0.000000000000000000e+00
3.435000000000006537e+01,1.450641789069746258e-02
3.445000000000005969e+01,2.892861855126033221e-02
3.455000000000006821e+01,1.442244441520822498e-02
3.465000000000006253e+01,0.000000000000000000e+00
3.475000000000007105e+01,2.867887508175327727e-02
3.485000000000006537e+01,1.000880396504519876e-01
3.495000000000007390e+01,5.702952269475817376e-02
3.505000000000006821e+01,2.843340682142465187e-02
3.515000000000007674e+01,1.417625759731016254e-02
3.525000000000007105e+01,1.413604126370080795e-02
3.535000000000007958e+01,7.048026231194552682e-02
3.545000000000007390e+01,0.000000000000000000e+00
